type,id,hex
accent,0,#CAD3D9
accent,1,#E07578
accent,2,#E19378
accent,3,#E0BF78
accent,4,#D2EB78
accent,5,#9AEB78
accent,6,#6FEB78
accent,7,#6FEBA8
accent,8,#6FD6F1
accent,9,#6FA2F1
accent,10,#6F7DF1
accent,11,#9975F1
accent,12,#C875F1
accent,13,#DF75C4
accent,14,#DF758C
accent,15,#A8B0B5
accent,16,#E05254
accent,17,#E17854
accent,18,#E0B154
accent,19,#CEEB54
accent,20,#85EB54
accent,21,#4EEB54
accent,22,#4EEB93
accent,23,#4ED1F1
accent,24,#4E8CF1
accent,25,#4E5CF1
accent,26,#8352F1
accent,27,#C152F1
accent,28,#DF52B7
accent,29,#DF526E
accent,30,#878D91
accent,31,#E02E2F
accent,32,#E15D2F
accent,33,#E0A42F
accent,34,#C9EB2F
accent,35,#70EB2F
accent,36,#2CEB2F
accent,37,#2CEB7D
accent,38,#2CCBF1
accent,39,#2C77F1
accent,40,#2C3BF1
accent,41,#6E2EF1
accent,42,#BB2EF1
accent,43,#DF2EAA
accent,44,#DF2E50
accent,45,#5A5E61
accent,46,#E00000
accent,47,#E13A00
accent,48,#E09200
accent,49,#C4EB00
accent,50,#54EB00
accent,51,#00EB00
accent,52,#00EB61
accent,53,#00C3F1
accent,54,#0059F1
accent,55,#0010F1
accent,56,#5200F1
accent,57,#B300F1
accent,58,#DF0098
accent,59,#DF0028
accent,60,#373A3C
accent,61,#9D0000
accent,62,#9D2900
accent,63,#9D6600
accent,64,#89A400
accent,65,#3AA400
accent,66,#00A400
accent,67,#00A443
accent,68,#0088A8
accent,69,#003FA8
accent,70,#000AA8
accent,71,#3900A8
accent,72,#7C00A8
accent,73,#9C006B
accent,74,#9C001B
accent,75,#212324
accent,76,#5A0000
accent,77,#5A1700
accent,78,#5A3A00
accent,79,#4E5E00
accent,80,#215E00
accent,81,#005E00
accent,82,#005E26
accent,83,#004D61
accent,84,#002461
accent,85,#000661
accent,86,#200061
accent,87,#470060
accent,88,#59003C
accent,89,#590010
accent,90,#040505
accent,91,#2D0000
accent,92,#2D0B00
accent,93,#2D1D00
accent,94,#272F00
accent,95,#112F00
accent,96,#002F00
accent,97,#002F13
accent,98,#002730
accent,99,#001130
accent,100,#000330
accent,101,#100030
accent,102,#230030
accent,103,#2D001E
accent,104,#2D0008
blue,0,#477536
blue,1,#33753C
blue,2,#32755F
blue,3,#327378
blue,4,#326378
blue,5,#325678
blue,6,#324978
blue,7,#323D78
blue,8,#433578
blue,9,#473578
blue,10,#59A43B
blue,11,#37A444
blue,12,#37A47F
blue,13,#37A0A8
blue,14,#3786A9
blue,15,#3770A9
blue,16,#375BA9
blue,17,#3647A8
blue,18,#5239A8
blue,19,#5A39A8
blue,20,#64D336
blue,21,#32D343
blue,22,#32D39A
blue,23,#32CDD9
blue,24,#32A5D9
blue,25,#3286D9
blue,26,#3266D9
blue,27,#324AD8
blue,28,#5A34D8
blue,29,#6634D8
blue,30,#51E80B
blue,31,#0BE81E
blue,32,#0AE897
blue,33,#0AE0EE
blue,34,#0AA9EE
blue,35,#0A7DEE
blue,36,#0A51EE
blue,37,#0A28EE
blue,38,#420BEE
blue,39,#540BEE
blue,40,#41BB09
blue,41,#09BB19
blue,42,#09BB7A
blue,43,#09B4C0
blue,44,#0989C0
blue,45,#0965C0
blue,46,#0941C0
blue,47,#0921C0
blue,48,#3509C0
blue,49,#4409C0
blue,50,#349708
blue,51,#079714
blue,52,#079763
blue,53,#07929C
blue,54,#076F9C
blue,55,#07519C
blue,56,#07359C
blue,57,#071A9B
blue,58,#2B079B
blue,59,#37079B
blue,60,#287406
blue,61,#05740F
blue,62,#05744C
blue,63,#057077
blue,64,#055577
blue,65,#053E77
blue,66,#052877
blue,67,#051477
blue,68,#210577
blue,69,#2A0577
orange,0,#707536
orange,1,#706736
orange,2,#705B36
orange,3,#705336
orange,4,#704E36
orange,5,#704836
orange,6,#704136
orange,7,#703536
orange,8,#70354D
orange,9,#703557
orange,10,#9CA43B
orange,11,#9C8D3B
orange,12,#9D7A3B
orange,13,#9D6B3B
orange,14,#9C623B
orange,15,#9C593B
orange,16,#9C4E3B
orange,17,#9C393B
orange,18,#9C3961
orange,19,#9C3971
orange,20,#C9D236
orange,21,#C9B036
orange,22,#C99336
orange,23,#C97E36
orange,24,#C97136
orange,25,#C86436
orange,26,#C85436
orange,27,#C83436
orange,28,#C8346F
orange,29,#C83487
orange,30,#DCE70B
orange,31,#DCB70B
orange,32,#DD8F0B
orange,33,#DD720B
orange,34,#DC5F0B
orange,35,#DC4D0B
orange,36,#DC370B
orange,37,#DC0B0B
orange,38,#DC0B5B
orange,39,#DC0B7D
orange,40,#B2BB09
orange,41,#B29409
orange,42,#B27409
orange,43,#B25C09
orange,44,#B24D09
orange,45,#B23E09
orange,46,#B22C09
orange,47,#B20909
orange,48,#B2094A
orange,49,#B20965
orange,50,#909708
orange,51,#907808
orange,52,#905D08
orange,53,#904A08
orange,54,#8F3E08
orange,55,#8F3208
orange,56,#8F2408
orange,57,#8F0708
orange,58,#8F073B
orange,59,#8F0752
orange,60,#6E7406
orange,61,#6E5C06
orange,62,#6E4806
orange,63,#6E3906
orange,64,#6E2F06
orange,65,#6E2606
orange,66,#6E1B06
orange,67,#6E0606
orange,68,#6E062D
orange,69,#6E063E
